gama_x,gama_y
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40934.00133176765,40142.67633435223
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40376.23843837669,38982.0161034083
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
41741.95059371076,39248.03834635299
40387.678033027914,38895.96490153298
41540.135061646695,39419.50861362461
40387.678033027914,38895.96490153298
41532.16257781815,39497.26136090048
41532.16257781815,39497.26136090048
41532.16257781815,39497.26136090048
41353.11625570897,38966.827101457864
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40376.23843837669,38982.0161034083
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
40387.678033027914,38895.96490153298
41540.135061646695,39419.50861362461
40387.678033027914,38895.96490153298
44634.796349327546,21690.739379611798
45266.86952189368,21800.007340026088
44868.408888513455,22187.23472980596
44186.26567274262,22926.73614249751
44740.69864124409,21647.098606472835
45266.86952189368,21800.007340026088
45249.666651222156,21703.897160575725
45171.51378117292,21759.624237304553
44784.38510263234,21578.29576421529
44784.38510263234,21578.29576421529
45211.27490397578,21703.13638907671
44784.38510263234,21578.29576421529
44784.38510263234,21578.29576421529
44835.91162931628,22274.914422940463
45374.23230121145,21789.00499298796
45371.19063957175,21841.98583179433
44938.816024838015,22221.331011039205
45217.83704649052,21751.942322547548
44784.38510263234,21578.29576421529
45357.359461096115,21861.69209529739
45348.38835591497,21885.76320239436
44885.0174227691,22122.20458556246
43768.031087894225,22651.714841035195
45256.55293853441,21882.67082956899
43803.738536866615,23302.555594662204
44784.38510263234,21578.29576421529
45313.90677044925,21832.700851717032
44784.38510263234,21578.29576421529
44692.43937468156,21657.420444137417
44784.38510263234,21578.29576421529
45129.814921401325,21820.809897924773
44784.38510263234,21578.29576421529
44228.50178333174,23039.381853818893
