timestamp,lat,lng,population
1739491200,43.03493418739845,-2.097863857154934,1813
1739491200,43.21603442606365,-2.0132438717162855,14517
1739491200,43.16647194906707,-2.097055909845774,2112
1739491200,43.01866676915012,-2.4855105353347993,7178
1739491200,43.22974443855883,-2.140147511550703,2148
1739491200,43.170433069269365,-2.3465920974545162,3924
1739491200,43.201226191763205,-2.32012915866189,3924
1739491200,43.149158846531726,-2.3193375828793465,3924
1739491200,43.16258856178964,-2.2597510478025913,15301
1739491200,43.07232657460473,-2.2193447328777074,14048
1739491200,43.127566296373644,-1.9930864800392083,1114
1739491200,43.017847518386645,-2.282699222724123,1543
1739491200,43.240007997057276,-2.241049222024622,3933
1739491200,43.215649036858245,-2.071242465777825,2976
1739491200,43.26358207518571,-2.320098156523102,5362
1739491200,43.18296034496581,-2.4757055456915795,5496
1739491200,43.20550909480001,-2.474554328694444,5496
1739491200,43.17759575265979,-2.4598142323222807,5496
1739491200,43.18609434947851,-2.4673190696578375,5496
1739491200,43.198844875232425,-2.4467366910839403,5496
1739491200,43.214511741840106,-2.4036251831920556,11705
1739491200,42.99318432498999,-2.541350696274472,4215
1739491200,43.361497528179335,-1.825821175188739,16788
1739491200,43.293926312744205,-2.2142307328027737,2887
1739491200,43.23600419620227,-1.9433628759195305,20375
1739491200,43.1426740633928,-2.048989709050017,4114
1739491200,42.98136531815931,-2.1879313005178673,2217
1739491200,43.33882820581727,-1.7897311176329898,15958
1739491200,43.313608376858944,-1.7705973173657703,15958
1739491200,43.33937827577054,-1.8064765364830877,15958
1739491200,43.323829556107846,-1.8179255752782109,15958
1739491200,43.019387529643936,-2.168742357480714,6087
1739491200,43.028434914041576,-2.34190555645815,8384
1739491200,43.13678437938211,-2.174636095667404,1457
1739491200,43.327614125800466,-1.8775479685192955,6184
1739491200,43.069600559438015,-2.499153798519702,22450
1739491200,43.2709585435694,-2.3908727388652253,5238
1739491200,43.0113223558737,-2.413787993275934,11480
1739491200,43.28748397980124,-2.10770842884401,6184
1739491200,43.27644443761082,-1.8392130291691886,10480
1739491200,43.33935347771268,-1.8940236264164254,15820
1739491200,43.16162055337169,-2.450062434976315,3857
1739491200,43.26398287050956,-1.888460860343392,39363
1739491200,43.32410385570958,-1.9884818502367883,27123
1739491200,43.31888090894862,-1.9837759499531982,27123
1739491200,43.26780591215101,-1.929329286592616,27123
1739491200,43.316020398718585,-1.968617440101933,27123
1739491200,43.32837228303888,-1.9623776812910525,27123
1739491200,43.291107556920664,-2.017067273904113,27123
1739491200,43.311860015690954,-1.9389808141111506,27123
1739491200,43.139172399670336,-2.0727516482952675,5017
1739491200,43.09825000097634,-2.084710626959726,5017
1739491200,43.12307975396789,-2.0787758687223064,5017
1739491200,43.15165744887456,-2.055788944368552,5017
1739491200,43.22684715797233,-1.9715883792970323,6327
1739491200,43.27314672632919,-2.062587098986672,6483
1739491200,43.13311989705778,-2.3835318568417994,4801
1739491200,43.14516815534711,-2.4220064671499975,4801
1739491200,43.10084694659576,-2.4523698221556676,4801
1739491200,43.180303638023304,-2.0306845931397968,5900
1739491200,43.05892547076856,-2.181215009671649,10815
1739491200,43.09766797791017,-2.3657485891840975,6730
1739491200,43.28553068545796,-2.1748413761553502,11748
1739491200,43.2735621708637,-2.16920143531026,11748
1739491200,43.102092200492834,-2.3099828145960974,9678
1739491200,43.285375373483475,-2.2443760990948043,10160
1739491200,43.26022973064613,-2.012693254667878,19435
1739491200,43.2776019683326,-1.9337921244389884,7812
1739491800,43.03493418739845,-2.097863857154934,1789
1739491800,43.21603442606365,-2.0132438717162855,14395
1739491800,43.16647194906707,-2.097055909845774,2105
1739491800,43.01866676915012,-2.4855105353347993,7152
1739491800,43.22974443855883,-2.140147511550703,2116
1739491800,43.170433069269365,-2.3465920974545162,3914
1739491800,43.201226191763205,-2.32012915866189,3924
1739491800,43.149158846531726,-2.3193375828793465,3922
1739491800,43.16258856178964,-2.2597510478025913,15191
1739491800,43.07232657460473,-2.2193447328777074,13976
1739491800,43.127566296373644,-1.9930864800392083,1067
1739491800,43.017847518386645,-2.282699222724123,1523
1739491800,43.240007997057276,-2.241049222024622,3893
1739491800,43.215649036858245,-2.071242465777825,2964
1739491800,43.26358207518571,-2.320098156523102,5360
1739491800,43.18296034496581,-2.4757055456915795,5480
1739491800,43.20550909480001,-2.474554328694444,5426
1739491800,43.17759575265979,-2.4598142323222807,5480
1739491800,43.18609434947851,-2.4673190696578375,5485
1739491800,43.198844875232425,-2.4467366910839403,5452
1739491800,43.214511741840106,-2.4036251831920556,11588
1739491800,42.99318432498999,-2.541350696274472,4193
1739491800,43.361497528179335,-1.825821175188739,16625
1739491800,43.293926312744205,-2.2142307328027737,2881
1739491800,43.23600419620227,-1.9433628759195305,20268
1739491800,43.1426740633928,-2.048989709050017,4049
1739491800,42.98136531815931,-2.1879313005178673,2207
1739491800,43.33882820581727,-1.7897311176329898,15902
1739491800,43.313608376858944,-1.7705973173657703,15723
1739491800,43.33937827577054,-1.8064765364830877,15692
1739491800,43.323829556107846,-1.8179255752782109,15866
1739491800,43.019387529643936,-2.168742357480714,6074
1739491800,43.028434914041576,-2.34190555645815,8370
1739491800,43.13678437938211,-2.174636095667404,1409
1739491800,43.327614125800466,-1.8775479685192955,6139
1739491800,43.069600559438015,-2.499153798519702,22312
1739491800,43.2709585435694,-2.3908727388652253,5221
1739491800,43.0113223558737,-2.413787993275934,11335
1739491800,43.28748397980124,-2.10770842884401,6152
1739491800,43.27644443761082,-1.8392130291691886,10403
1739491800,43.33935347771268,-1.8940236264164254,15702
1739491800,43.16162055337169,-2.450062434976315,3818
1739491800,43.26398287050956,-1.888460860343392,39096
1739491800,43.32410385570958,-1.9884818502367883,27063
1739491800,43.31888090894862,-1.9837759499531982,27034
1739491800,43.26780591215101,-1.929329286592616,26873
1739491800,43.316020398718585,-1.968617440101933,27017
1739491800,43.32837228303888,-1.9623776812910525,26989
1739491800,43.291107556920664,-2.017067273904113,26716
1739491800,43.311860015690954,-1.9389808141111506,26839
1739491800,43.139172399670336,-2.0727516482952675,5010
1739491800,43.09825000097634,-2.084710626959726,4974
1739491800,43.12307975396789,-2.0787758687223064,4978
1739491800,43.15165744887456,-2.055788944368552,4988
